timestamp,real_mean_horizon,LSTM_mean_horizon,Transformer_mean_horizon,XGBoost_mean_horizon,Prophet_mean_horizon,Ensemble_mean_horizon
2011-11-29 22:30:00,58.834,27.862421,32.011116,21.474737,31.5841372896238,25.32869432313303
2011-11-29 23:00:00,78.531,27.17182,31.9858,26.455029,31.51650816857068,27.850618563399102
2011-11-29 23:30:00,74.18400000000001,25.327442,31.983608,23.413275,31.884819854705597,25.658208133632222
2011-11-30 00:00:00,66.53899999999999,24.898626,31.900318,25.314068,32.54364880092425,26.57922981444409
2011-11-30 00:30:00,66.398,25.547655,31.896519,26.71753,33.32147315813394,27.53953323907867
2011-11-30 01:00:00,62.69099999999999,28.333597,31.87384,26.862238,34.06072498171752,28.568844963262602
2011-11-30 01:30:00,52.613,31.34264,31.876461,30.08784,34.65231622361868,31.17458338691776
2011-11-30 02:00:00,46.522000000000006,34.584496,31.878592,32.214905,35.056261585787595,33.11073032657763
2011-11-30 02:30:00,44.767999999999994,34.078503,31.862757,33.987053,35.30363306818443,33.93228988497408
2011-11-30 03:00:00,46.651,32.346962,31.75951,32.01127,35.47989481804426,32.49786107916192
2011-11-30 03:30:00,42.481,29.89924,31.759192,31.70673,35.6944344449514,31.84205071022875
2011-11-30 04:00:00,40.742,28.371014,31.772335,31.03577,36.04459387006633,31.25481418478868
2011-11-30 04:30:00,38.141000000000005,28.205677,31.75365,29.115559,36.58381186189161,30.280472697974027
2011-11-30 05:00:00,40.208,26.007797,31.724178,28.848145,37.302296302046905,29.69981918413135
2011-11-30 05:30:00,45.23500000000001,26.964838,31.769867,28.279297,38.12527665282866,29.752373119738387
2011-11-30 06:00:00,39.544000000000004,30.330105,31.802927,30.393948,38.92924130298422,31.698760667395582
2011-11-30 06:30:00,45.366,32.98998,31.810553,29.857574,39.571863136928506,32.16722699053703
2011-11-30 07:00:00,46.61099999999999,34.421223,31.681446,34.96647,39.92778644979903,35.249605371338625
2011-11-30 07:30:00,74.38999999999999,34.694115,31.669586,36.811577,39.92099723840198,36.31816960883702
2011-11-30 08:00:00,40.940999999999995,35.590004,31.619211,34.840065,39.545480087773896,35.139909054744294
2011-11-30 08:30:00,45.2594,34.415283,31.60542,33.85148,38.86898843919675,34.224267655281736
2011-11-30 09:00:00,44.242399999999996,35.01116,31.651316,31.881311,38.0191711605778,33.17832051811521
2011-11-30 09:30:00,25.0156,34.81634,31.646122,29.74938,37.15582792896608,31.861669264921773
2011-11-30 10:00:00,25.538499999999992,33.447945,31.563244,27.861124,36.4365166919672,30.478655507553604
2011-11-30 10:30:00,25.60009999999999,32.349815,31.57988,28.994253,35.98421986758975,30.955108358565354
2011-11-30 11:00:00,25.731999999999992,32.72881,31.696583,29.660694,35.86493995142315,31.379246166201995
2011-11-30 11:30:00,19.3553,34.309696,31.793667,29.899897,36.08021175774572,31.785122311227376
2011-11-30 12:00:00,31.427400000000006,35.358772,31.896076,36.93152,36.57540310439423,35.743605536490215
2011-11-30 12:30:00,58.704800000000006,36.127636,32.042763,40.019733,37.26046156203623,37.731539711383235
2011-11-30 13:00:00,63.75669999999998,38.39096,32.194984,43.892063,38.03659389731291,40.39852805893381
2011-11-30 13:30:00,60.43459999999999,40.132725,32.445923,43.901237,38.82107866773502,40.87471837633635
2011-11-30 14:00:00,59.510200000000005,40.122272,32.642845,42.898945,39.56332691524705,40.39735020434092
2011-11-30 14:30:00,59.5296,40.22882,32.92084,43.211906,40.248129718466096,40.7533484517592
2011-11-30 15:00:00,78.2174,40.043053,33.079273,45.546227,40.885949853396056,41.96259798391843
2011-11-30 15:30:00,86.1966,41.529835,33.26124,44.951447,41.494016134772,42.17129628292396
2011-11-30 16:00:00,104.82450000000003,41.91401,33.28822,46.49366,42.07476065633917,43.24866546549897
2011-11-30 16:30:00,104.36170000000001,42.254852,33.263542,44.546196,42.59901139645559,42.37312027172285
2011-11-30 17:00:00,101.78190000000001,42.278187,33.178154,45.23539,43.0000567045774,42.70125148118952
2011-11-30 17:30:00,107.844,41.9177,33.17378,46.03405,43.181579329675564,43.05773631365052
2011-11-30 18:00:00,92.62100000000001,41.240166,33.085907,42.258522,43.03837333927135,40.94557736016232
2011-11-30 18:30:00,90.251,40.40077,33.138153,42.076183,42.484844764063,40.58491877628651
2011-11-30 19:00:00,95.99799999999999,38.61088,33.087845,38.55715,41.48366270252998,38.2563513559682
2011-11-30 19:30:00,90.494,36.53219,33.16996,37.863636,40.066343574026256,37.117753218978024
2011-11-30 20:00:00,87.95299999999999,34.637848,33.36806,34.97448,38.33923840217793,35.070005031462884
2011-11-30 20:30:00,94.09400000000001,32.742424,33.55258,32.867573,36.471954109333325,33.436989899180915
2011-11-30 21:00:00,83.048,31.31377,33.61315,29.809193,34.66975838509554,31.411260363526544
2011-11-30 21:30:00,82.253,30.0265,33.60717,28.317621,33.13579908359511,30.156358067061962
2011-11-30 22:00:00,70.35300000000001,28.55372,33.666176,26.085958,32.031858814752084,28.484213746859023
2011-11-30 22:30:00,72.083,26.280323,33.683796,23.190872,31.44706028494135,26.215544853284435
2011-11-30 23:00:00,90.674,25.516993,33.685596,28.282001,31.382206043675843,28.694928374560146
2011-11-30 23:30:00,78.939,25.33907,33.728233,28.40636,31.753685913549667,28.5296052780609
2011-12-01 00:00:00,66.42100000000002,26.435482,33.811333,27.12349,32.41606392924969,28.15229731907837
2011-12-01 00:30:00,60.163000000000004,27.105743,33.8328,26.779163,33.1978047837798,28.20014653316641
2011-12-01 01:00:00,58.56400000000001,28.41834,33.86788,28.446896,33.94132607996461,29.488031733794788
2011-12-01 01:30:00,55.33699999999999,31.633856,33.90497,29.190784,34.53752437302431,30.910043372862738
2011-12-01 02:00:00,49.448,32.66406,33.854424,33.79513,34.94639807572734,33.68038908883733
2011-12-01 02:30:00,44.561,32.39049,33.82634,34.475113,35.199002061038996,33.96401591450383
2011-12-01 03:00:00,41.562999999999995,32.035248,33.835983,33.976418,35.38078256908441,33.62756501949381
2011-12-01 03:30:00,41.88999999999999,30.8078,33.817936,34.571377,35.601108581548075,33.59835648724893
